attendance,current_test_score,current_assignment_score,previous_test_score,previous_assignment_score,fees,gender,dropout_target
74,55,60,62,47,Unpaid,Female,Medium Risk
39,26,32,37,55,Unpaid,Male,High Risk
56,70,51,48,45,Unpaid,Female,Medium Risk
60,56,36,51,33,Paid,Male,Medium Risk
64,62,50,53,41,Paid,Male,Medium Risk
54,63,50,63,50,Unpaid,Male,Medium Risk
44,47,39,41,32,Paid,Male,High Risk
82,68,56,64,57,Paid,Female,Low Risk
52,58,63,51,51,Paid,Female,Medium Risk
51,30,24,45,55,Paid,Male,Medium Risk
52,58,58,84,79,Paid,Male,Low Risk
53,44,32,45,35,Paid,Female,Medium Risk
35,38,32,55,55,Unpaid,Male,High Risk
55,68,63,55,68,Unpaid,Male,Medium Risk
63,48,48,39,34,Paid,Male,Medium Risk
68,79,56,75,54,Paid,Female,Low Risk
48,45,39,45,38,Unpaid,Female,High Risk
59,55,52,45,44,Paid,Male,Medium Risk
66,64,51,60,60,Paid,Male,Low Risk
32,47,42,52,42,Paid,Male,High Risk
30,25,35,33,34,Unpaid,Male,High Risk
64,43,45,32,37,Unpaid,Male,Medium Risk
56,46,44,55,47,Unpaid,Female,High Risk
67,49,55,62,39,Paid,Male,Low Risk
44,54,51,55,48,Paid,Female,Medium Risk
56,53,63,55,62,Unpaid,Male,High Risk
49,46,44,50,46,Paid,Female,High Risk
59,76,75,67,75,Paid,Male,Low Risk
49,31,29,17,27,Paid,Male,High Risk
55,70,66,63,68,Paid,Male,Low Risk
24,40,51,29,53,Unpaid,Female,High Risk
60,52,58,72,67,Paid,Male,Medium Risk
59,51,44,57,44,Paid,Male,Low Risk
56,50,55,52,64,Paid,Female,Medium Risk
48,48,40,43,47,Paid,Male,Medium Risk
66,51,59,62,66,Unpaid,Female,Medium Risk
81,60,46,39,55,Unpaid,Female,Medium Risk
64,58,58,45,72,Unpaid,Male,Medium Risk
57,56,61,59,61,Paid,Female,Low Risk
44,53,69,65,81,Unpaid,Male,Medium Risk
48,41,43,42,56,Paid,Male,High Risk
31,56,53,51,42,Unpaid,Female,High Risk
32,50,51,38,34,Paid,Male,High Risk
50,68,59,49,49,Paid,Male,Low Risk
51,26,35,28,46,Paid,Female,High Risk
81,78,66,60,80,Unpaid,Male,Low Risk
56,55,53,54,53,Unpaid,Female,High Risk
47,45,47,40,40,Unpaid,Female,High Risk
57,52,66,27,57,Paid,Male,Medium Risk
72,43,43,39,34,Paid,Female,Low Risk
44,38,58,50,69,Unpaid,Male,High Risk
65,48,45,51,40,Paid,Female,Low Risk
65,57,52,60,60,Paid,Male,Low Risk
50,63,49,64,59,Unpaid,Female,High Risk
51,55,42,60,50,Unpaid,Male,High Risk
48,60,51,44,33,Paid,Female,Medium Risk
64,46,64,28,64,Paid,Female,Low Risk
58,55,48,56,52,Paid,Female,Medium Risk
70,63,60,55,56,Paid,Female,Low Risk
59,40,32,47,45,Paid,Female,Medium Risk
52,53,55,47,45,Paid,Female,Medium Risk
58,46,52,30,53,Paid,Female,Medium Risk
62,60,66,73,77,Paid,Male,Low Risk
29,28,31,33,43,Unpaid,Male,High Risk
45,51,44,43,33,Paid,Male,High Risk
42,34,31,46,36,Paid,Male,High Risk
92,78,70,62,68,Paid,Female,Low Risk
47,51,74,51,73,Unpaid,Male,High Risk
45,49,66,44,72,Unpaid,Female,High Risk
65,54,59,61,66,Paid,Female,Medium Risk
33,36,39,38,48,Unpaid,Male,High Risk
58,42,49,49,58,Paid,Female,Medium Risk
70,70,68,64,48,Paid,Male,Low Risk
61,59,59,44,42,Paid,Male,Medium Risk
70,61,64,58,60,Unpaid,Female,Medium Risk
68,56,55,49,49,Unpaid,Male,Medium Risk
51,54,49,63,48,Paid,Male,Medium Risk
52,48,63,51,67,Paid,Female,Medium Risk
34,46,56,48,62,Unpaid,Male,High Risk
48,64,80,58,63,Unpaid,Male,Medium Risk
75,80,65,67,58,Paid,Female,Low Risk
36,35,32,30,36,Paid,Female,High Risk
58,71,55,73,58,Paid,Female,Low Risk
54,60,47,59,53,Unpaid,Male,Medium Risk
62,60,80,53,61,Paid,Male,Low Risk
46,44,41,55,63,Unpaid,Female,High Risk
47,42,49,38,53,Paid,Male,High Risk
58,41,59,60,58,Paid,Female,Medium Risk
50,54,56,59,74,Unpaid,Male,Medium Risk
53,45,35,37,39,Paid,Female,Medium Risk
80,62,61,58,68,Unpaid,Male,Low Risk
90,67,57,70,68,Paid,Female,Low Risk
81,73,62,71,72,Unpaid,Male,Low Risk
67,65,70,72,80,Paid,Male,Low Risk
64,57,56,65,54,Paid,Female,Low Risk
60,53,53,63,60,Unpaid,Female,Medium Risk
56,41,52,49,72,Paid,Male,Medium Risk
51,54,55,67,60,Paid,Male,Medium Risk
59,62,60,54,57,Unpaid,Female,Medium Risk
70,52,53,44,60,Paid,Female,Low Risk
34,38,46,55,53,Paid,Male,High Risk
47,68,49,42,46,Unpaid,Male,Medium Risk
48,41,51,45,47,Unpaid,Female,High Risk
37,53,58,51,70,Paid,Female,Medium Risk
40,32,32,34,41,Paid,Male,High Risk
52,56,43,66,53,Paid,Male,Medium Risk
71,65,65,66,67,Paid,Male,Low Risk
64,71,66,72,64,Unpaid,Male,Medium Risk
75,58,72,56,52,Unpaid,Male,Low Risk
57,48,57,42,48,Paid,Male,Medium Risk
29,36,19,22,32,Paid,Female,High Risk
66,64,51,58,53,Unpaid,Female,Medium Risk
39,60,65,56,58,Paid,Male,Medium Risk
58,36,39,31,33,Paid,Female,Medium Risk
51,69,69,59,65,Paid,Male,Low Risk
75,73,66,60,65,Unpaid,Male,Low Risk
61,65,66,71,61,Paid,Female,Low Risk
73,65,80,56,80,Paid,Female,Low Risk
58,49,46,45,51,Unpaid,Male,Medium Risk
62,52,52,70,77,Paid,Female,Medium Risk
61,57,56,60,49,Paid,Male,Low Risk
51,36,45,45,46,Paid,Female,Medium Risk
77,54,40,52,56,Unpaid,Female,Medium Risk
79,62,68,58,61,Paid,Male,Low Risk
67,67,47,74,69,Unpaid,Female,Low Risk
46,53,57,55,51,Paid,Male,High Risk
46,49,60,54,55,Unpaid,Female,High Risk
66,32,50,20,39,Paid,Male,Medium Risk
39,33,50,33,50,Paid,Female,High Risk
54,58,56,44,58,Paid,Male,Medium Risk
48,35,37,51,57,Paid,Female,Medium Risk
50,48,46,67,61,Paid,Female,Medium Risk
61,67,64,60,57,Unpaid,Female,Medium Risk
54,53,59,52,63,Paid,Male,Medium Risk
54,54,35,59,50,Paid,Female,Medium Risk
69,33,59,36,64,Paid,Male,Medium Risk
41,52,42,45,60,Unpaid,Male,High Risk
52,55,61,58,61,Unpaid,Male,Medium Risk
60,80,69,74,74,Paid,Male,Low Risk
70,73,71,57,74,Unpaid,Male,Low Risk
39,49,43,47,49,Unpaid,Male,High Risk
60,60,72,62,64,Paid,Female,Low Risk
69,72,54,71,64,Paid,Male,Low Risk
51,65,59,62,56,Paid,Male,Medium Risk
55,44,33,58,42,Paid,Female,Medium Risk
41,26,29,18,46,Paid,Female,High Risk
69,55,74,63,66,Paid,Female,Low Risk
20,58,42,40,48,Unpaid,Male,High Risk
89,85,78,81,80,Unpaid,Female,Low Risk
66,62,59,58,51,Unpaid,Female,Medium Risk
51,36,40,29,31,Paid,Female,Medium Risk
58,69,71,50,48,Unpaid,Female,Medium Risk
68,51,49,55,46,Paid,Female,Low Risk
57,42,40,45,33,Paid,Male,Medium Risk
61,57,60,57,70,Paid,Male,Medium Risk
57,51,52,55,55,Unpaid,Female,Medium Risk
56,48,43,34,56,Paid,Male,Medium Risk
38,38,36,48,44,Paid,Male,High Risk
72,57,57,46,71,Paid,Male,Low Risk
38,48,55,53,53,Paid,Male,High Risk
53,53,51,60,75,Paid,Female,Low Risk
47,37,41,63,50,Unpaid,Male,High Risk
78,82,66,78,79,Paid,Female,Low Risk
50,49,45,39,38,Paid,Male,Medium Risk
38,45,40,48,33,Paid,Male,High Risk
60,64,42,62,60,Paid,Female,Medium Risk
38,61,61,52,54,Paid,Female,Medium Risk
63,59,61,47,55,Paid,Male,Low Risk
35,43,37,36,50,Paid,Female,High Risk
70,68,52,59,63,Unpaid,Male,Medium Risk
57,77,72,72,63,Paid,Male,Low Risk
57,53,59,61,54,Unpaid,Male,Medium Risk
36,27,40,22,20,Paid,Male,High Risk
60,81,70,80,69,Paid,Male,Low Risk
54,62,56,61,59,Paid,Male,Low Risk
46,59,54,49,55,Paid,Male,Medium Risk
43,48,49,58,59,Paid,Female,Medium Risk
55,62,71,64,66,Unpaid,Female,Medium Risk
37,34,37,31,38,Paid,Female,High Risk
56,59,56,61,58,Paid,Female,Medium Risk
27,31,36,23,41,Paid,Male,High Risk
76,77,66,83,70,Paid,Female,Low Risk
50,46,45,42,48,Paid,Male,Medium Risk
57,55,58,64,69,Paid,Male,Low Risk
34,19,39,13,34,Paid,Female,High Risk
39,28,41,40,43,Paid,Male,High Risk
19,30,41,21,38,Paid,Male,High Risk
55,59,58,47,62,Unpaid,Female,Medium Risk
53,53,44,46,38,Paid,Male,Medium Risk
53,69,50,48,58,Paid,Male,Low Risk
52,46,57,41,67,Unpaid,Female,High Risk
65,54,73,48,68,Paid,Male,Low Risk
59,69,77,65,61,Paid,Female,Low Risk
61,51,69,52,59,Paid,Female,Low Risk
58,42,37,53,43,Paid,Female,Medium Risk
40,52,62,58,69,Paid,Female,Medium Risk
44,35,54,36,48,Paid,Male,High Risk
74,69,67,83,66,Paid,Male,Low Risk
68,61,60,72,69,Unpaid,Male,Low Risk
63,68,59,55,45,Paid,Female,Low Risk
28,60,46,54,46,Unpaid,Female,High Risk
59,64,67,55,58,Paid,Male,Low Risk
59,54,68,57,69,Paid,Female,Medium Risk
64,70,65,52,59,Paid,Male,Low Risk
46,44,52,57,57,Paid,Female,Medium Risk
59,73,67,91,79,Paid,Female,Low Risk
30,49,53,61,63,Paid,Male,High Risk
53,41,43,34,38,Paid,Female,High Risk
63,74,70,57,62,Paid,Male,Low Risk
72,57,54,54,48,Paid,Male,Low Risk
64,57,59,47,49,Paid,Male,Medium Risk
65,56,70,51,63,Unpaid,Male,Medium Risk
68,47,33,31,46,Paid,Male,Medium Risk
47,75,61,70,73,Paid,Male,Low Risk
83,88,86,88,84,Paid,Female,Low Risk
66,54,46,51,48,Paid,Female,Low Risk
49,57,64,56,72,Paid,Male,Low Risk
39,44,40,27,36,Paid,Female,High Risk
53,68,68,54,73,Paid,Female,Medium Risk
72,68,60,54,51,Paid,Female,Low Risk
70,80,84,68,60,Paid,Male,Low Risk
57,38,46,38,43,Paid,Female,Medium Risk
33,47,44,36,17,Paid,Male,High Risk
55,71,79,62,61,Paid,Female,Low Risk
62,48,52,54,66,Paid,Female,Medium Risk
54,51,43,42,42,Paid,Male,Medium Risk
60,65,53,74,58,Paid,Male,Low Risk
55,47,26,53,48,Paid,Female,Medium Risk
51,53,57,37,43,Paid,Female,Medium Risk
66,48,52,34,50,Unpaid,Male,High Risk
55,38,54,34,42,Paid,Female,Medium Risk
58,66,52,61,57,Paid,Male,Medium Risk
65,61,54,49,52,Paid,Male,Low Risk
40,18,34,33,23,Paid,Male,High Risk
41,53,71,53,56,Paid,Male,Medium Risk
52,66,55,53,47,Paid,Male,Medium Risk
42,48,64,52,57,Unpaid,Female,High Risk
51,37,50,39,48,Unpaid,Female,High Risk
100,80,63,66,70,Paid,Male,Low Risk
57,41,53,36,65,Paid,Female,Medium Risk
70,57,67,56,69,Paid,Male,Low Risk
62,49,44,57,50,Paid,Female,Medium Risk
49,42,49,62,50,Unpaid,Male,High Risk
55,68,61,67,51,Unpaid,Male,Medium Risk
61,55,63,65,86,Paid,Female,Low Risk
63,61,60,54,59,Unpaid,Female,Medium Risk
51,53,65,43,64,Paid,Female,Medium Risk
73,62,39,51,55,Paid,Male,Low Risk
55,44,42,52,55,Unpaid,Male,High Risk
52,49,46,39,58,Unpaid,Female,High Risk
51,63,73,70,65,Paid,Male,Low Risk
61,57,47,56,41,Paid,Female,Medium Risk
72,58,58,58,55,Paid,Female,Low Risk
63,54,61,40,53,Paid,Female,Low Risk
82,58,50,59,56,Paid,Female,Low Risk
60,61,64,68,68,Paid,Male,Medium Risk
52,59,73,56,55,Unpaid,Female,Medium Risk
71,61,38,63,45,Paid,Female,Low Risk
54,57,56,61,54,Paid,Male,Medium Risk
62,55,61,59,52,Paid,Male,Low Risk
70,57,62,58,76,Unpaid,Male,Medium Risk
52,49,50,45,56,Paid,Male,Medium Risk
32,32,29,44,56,Unpaid,Male,High Risk
54,52,52,61,50,Paid,Female,Medium Risk
58,65,65,63,70,Paid,Male,Low Risk
17,41,38,26,39,Paid,Female,High Risk
74,63,67,74,80,Paid,Male,Low Risk
78,73,66,51,53,Paid,Female,Low Risk
43,69,61,65,63,Paid,Male,Medium Risk
56,71,58,66,52,Paid,Female,Low Risk
37,39,43,37,38,Unpaid,Female,High Risk
35,43,32,50,44,Paid,Female,High Risk
35,41,37,45,56,Paid,Male,High Risk
29,42,43,49,51,Paid,Male,High Risk
45,45,40,55,50,Paid,Female,High Risk
82,67,55,47,34,Paid,Female,Low Risk
33,45,52,32,51,Paid,Male,High Risk
48,52,66,60,61,Paid,Female,Medium Risk
43,27,29,29,28,Paid,Female,High Risk
53,54,51,46,50,Paid,Female,Medium Risk
61,47,61,46,57,Paid,Female,Medium Risk
65,61,67,61,57,Unpaid,Male,Medium Risk
60,46,49,45,48,Paid,Female,Medium Risk
53,35,36,38,44,Paid,Female,Medium Risk
41,59,48,64,58,Paid,Male,Medium Risk
46,66,50,70,65,Paid,Female,Medium Risk
46,63,56,61,59,Paid,Female,Medium Risk
53,61,65,42,63,Paid,Female,Medium Risk
32,52,62,42,48,Unpaid,Male,High Risk
40,44,44,52,61,Paid,Female,Medium Risk
75,59,54,39,40,Paid,Male,Low Risk
69,76,56,63,54,Paid,Male,Low Risk
59,48,53,43,51,Unpaid,Male,High Risk
63,58,52,54,52,Paid,Female,Low Risk
50,49,64,55,58,Paid,Female,Medium Risk
65,56,65,58,61,Paid,Male,Low Risk
61,42,35,31,39,Paid,Female,Medium Risk
79,88,81,83,58,Paid,Male,Low Risk
47,43,40,41,40,Paid,Female,High Risk
27,47,38,49,62,Paid,Female,High Risk
42,23,30,38,60,Paid,Male,High Risk
38,50,46,48,70,Unpaid,Male,High Risk
34,46,52,57,57,Paid,Male,High Risk
59,52,55,48,58,Paid,Male,Low Risk
50,55,53,63,58,Paid,Female,Medium Risk
30,53,44,46,39,Paid,Male,High Risk
74,43,75,55,71,Unpaid,Male,Medium Risk
54,56,59,60,64,Unpaid,Female,Medium Risk
56,53,51,49,61,Paid,Male,Medium Risk
63,30,44,35,47,Paid,Male,Medium Risk
50,62,67,52,61,Paid,Female,Low Risk
41,34,34,44,53,Unpaid,Female,High Risk
62,65,65,55,61,Paid,Female,Low Risk
66,67,72,69,71,Unpaid,Female,Low Risk
70,61,50,55,45,Unpaid,Male,Medium Risk
46,48,42,44,29,Paid,Female,High Risk
58,56,47,59,61,Paid,Female,Medium Risk
33,35,34,29,43,Paid,Male,High Risk
52,50,32,53,34,Unpaid,Male,High Risk
56,57,67,43,30,Unpaid,Female,Medium Risk
58,73,76,69,64,Unpaid,Female,Medium Risk
66,50,55,54,66,Paid,Male,Medium Risk
94,78,64,69,47,Paid,Male,Low Risk
45,45,42,46,40,Paid,Female,High Risk
71,62,58,55,57,Unpaid,Female,Low Risk
67,52,46,47,37,Paid,Male,Medium Risk
44,44,54,47,55,Paid,Female,Medium Risk
67,59,60,55,59,Unpaid,Male,Medium Risk
47,26,34,44,55,Unpaid,Female,High Risk
69,73,66,68,58,Paid,Male,Low Risk
51,58,66,55,56,Paid,Male,Medium Risk
55,60,44,34,34,Unpaid,Male,Medium Risk
38,40,43,38,56,Paid,Female,High Risk
60,59,62,46,62,Paid,Male,Medium Risk
54,60,47,41,50,Paid,Female,Medium Risk
60,48,41,57,41,Unpaid,Male,Medium Risk
78,57,61,51,62,Unpaid,Male,Medium Risk
47,48,50,39,52,Paid,Male,High Risk
48,48,40,23,32,Unpaid,Female,High Risk
89,79,69,68,64,Unpaid,Male,Low Risk
63,47,59,54,65,Paid,Female,Low Risk
61,57,61,60,58,Unpaid,Female,Medium Risk
47,51,65,40,41,Paid,Male,Medium Risk
57,56,56,56,54,Unpaid,Male,High Risk
76,49,43,46,33,Unpaid,Female,Medium Risk
53,69,63,66,50,Paid,Male,Low Risk
46,46,45,58,58,Paid,Female,High Risk
40,48,54,59,71,Unpaid,Female,High Risk
41,39,32,38,43,Unpaid,Female,High Risk
69,60,54,58,48,Paid,Male,Low Risk
84,54,55,70,64,Paid,Female,Low Risk
52,49,48,61,37,Paid,Male,Medium Risk
76,51,49,45,55,Unpaid,Male,Medium Risk
33,47,67,36,55,Paid,Female,High Risk
46,53,53,46,54,Paid,Male,Medium Risk
80,65,67,49,48,Paid,Female,Low Risk
62,72,68,63,61,Paid,Female,Low Risk
38,51,59,47,49,Paid,Female,High Risk
59,52,51,70,59,Paid,Male,Low Risk
50,45,54,44,46,Paid,Female,Medium Risk
73,77,63,52,61,Unpaid,Female,Low Risk
45,57,37,61,38,Paid,Male,Medium Risk
65,59,48,51,55,Unpaid,Female,Medium Risk
57,60,75,44,72,Paid,Female,Medium Risk
57,46,36,43,50,Unpaid,Female,High Risk
53,68,48,61,41,Paid,Male,Medium Risk
60,65,56,36,46,Paid,Female,Low Risk
61,61,69,48,63,Paid,Male,Low Risk
72,45,51,41,49,Paid,Male,Low Risk
60,52,46,50,40,Unpaid,Male,Medium Risk
40,53,42,57,53,Paid,Female,Medium Risk
31,35,51,30,42,Paid,Female,High Risk
62,65,58,55,66,Unpaid,Male,Medium Risk
79,76,68,61,53,Paid,Male,Low Risk
62,62,71,65,54,Paid,Male,Low Risk
70,52,48,52,69,Paid,Male,Low Risk
98,82,70,78,76,Paid,Female,Low Risk
51,69,65,69,68,Paid,Female,Low Risk
61,65,55,55,43,Unpaid,Female,Medium Risk
61,65,64,76,67,Unpaid,Female,Low Risk
64,48,46,53,59,Paid,Male,Low Risk
51,51,37,46,50,Unpaid,Male,High Risk
63,63,59,59,52,Unpaid,Female,Medium Risk
65,63,63,54,39,Paid,Female,Low Risk
70,57,47,60,51,Paid,Female,Medium Risk
70,68,68,50,67,Paid,Male,Low Risk
59,52,53,34,49,Paid,Female,Medium Risk
41,34,26,46,36,Unpaid,Female,High Risk
76,60,42,44,54,Unpaid,Female,Medium Risk
53,48,50,52,63,Unpaid,Male,High Risk
75,61,46,52,51,Paid,Male,Low Risk
42,38,46,40,47,Paid,Male,Medium Risk
44,46,40,54,58,Paid,Female,High Risk
29,32,25,28,32,Paid,Female,High Risk
35,35,31,39,41,Unpaid,Female,High Risk
45,50,46,47,61,Paid,Male,High Risk
74,51,59,57,50,Paid,Female,Low Risk
66,75,56,58,61,Paid,Male,Low Risk
59,61,61,61,48,Unpaid,Female,Medium Risk
70,73,63,66,47,Paid,Male,Low Risk
62,63,58,69,59,Unpaid,Female,Medium Risk
63,48,49,46,52,Paid,Male,Medium Risk
50,50,58,46,40,Paid,Female,Medium Risk
79,80,58,77,57,Paid,Female,Low Risk
59,59,54,48,45,Paid,Female,Low Risk
42,39,43,34,49,Unpaid,Female,High Risk
76,59,59,60,63,Paid,Female,Low Risk
56,62,62,47,61,Unpaid,Female,High Risk
67,53,53,57,55,Paid,Female,Low Risk
70,84,66,62,59,Paid,Female,Low Risk
65,57,68,43,62,Unpaid,Female,Medium Risk
47,66,79,56,59,Paid,Female,Medium Risk
67,56,54,54,38,Paid,Female,Low Risk
55,47,44,60,44,Unpaid,Female,High Risk
66,57,53,61,60,Paid,Male,Low Risk
63,67,59,56,45,Paid,Male,Low Risk
44,76,79,58,51,Unpaid,Male,Medium Risk
62,63,64,57,57,Paid,Male,Low Risk
60,57,35,51,36,Paid,Female,Medium Risk
57,84,76,73,74,Paid,Male,Low Risk
62,62,63,77,59,Paid,Female,Low Risk
62,48,55,40,46,Paid,Female,Medium Risk
51,61,66,47,55,Paid,Male,Medium Risk
45,37,40,36,64,Paid,Male,High Risk
61,44,41,53,68,Paid,Male,Medium Risk
33,24,51,35,43,Paid,Female,High Risk
63,33,39,38,54,Paid,Female,Medium Risk
41,48,40,49,39,Unpaid,Male,High Risk
49,41,51,51,52,Unpaid,Male,High Risk
56,40,42,41,68,Paid,Male,High Risk
40,60,66,61,76,Paid,Male,Medium Risk
60,60,57,68,70,Paid,Male,Low Risk
46,37,40,31,40,Unpaid,Female,High Risk
72,59,56,56,63,Paid,Female,Low Risk
24,32,40,47,45,Paid,Female,High Risk
29,46,42,35,35,Paid,Female,High Risk
52,47,28,53,54,Paid,Female,Medium Risk
64,48,47,47,55,Paid,Male,Medium Risk
64,52,52,54,67,Paid,Female,Low Risk
65,67,62,75,69,Paid,Male,Low Risk
43,61,64,55,53,Paid,Female,Low Risk
59,61,59,60,73,Paid,Female,Low Risk
70,64,68,50,61,Paid,Female,Low Risk
80,65,53,53,42,Paid,Male,Low Risk
44,45,34,44,50,Unpaid,Male,High Risk
42,62,63,69,57,Paid,Female,Medium Risk
67,50,59,51,61,Paid,Female,Low Risk
39,37,47,31,48,Paid,Female,High Risk
36,52,40,55,53,Paid,Male,High Risk
45,55,56,48,43,Unpaid,Female,High Risk
28,43,31,44,38,Unpaid,Male,High Risk
65,56,51,60,59,Paid,Male,Low Risk
59,61,43,63,57,Paid,Female,Low Risk
41,44,46,44,50,Paid,Male,High Risk
75,75,55,72,70,Paid,Male,Low Risk
60,67,80,73,75,Unpaid,Male,Low Risk
70,63,59,55,69,Unpaid,Female,Medium Risk
44,63,63,47,56,Paid,Male,Medium Risk
26,45,55,41,51,Unpaid,Male,High Risk
82,63,50,71,76,Paid,Female,Low Risk
55,64,72,54,56,Paid,Male,Low Risk
72,79,74,63,80,Paid,Female,Low Risk
48,47,52,61,66,Unpaid,Female,High Risk
61,61,58,63,38,Unpaid,Female,Medium Risk
51,54,43,55,47,Paid,Male,Medium Risk
80,82,67,71,62,Paid,Female,Low Risk
49,53,45,40,49,Paid,Male,Medium Risk
64,51,59,44,56,Paid,Male,Medium Risk
67,60,61,52,54,Paid,Male,Low Risk
52,45,46,31,37,Paid,Male,High Risk
51,49,48,48,54,Paid,Male,Medium Risk
67,54,42,41,39,Unpaid,Female,High Risk
50,44,35,39,42,Paid,Male,High Risk
63,53,49,42,47,Unpaid,Female,Medium Risk
43,53,36,47,45,Paid,Female,High Risk
58,81,74,64,61,Paid,Female,Low Risk
30,40,36,50,42,Paid,Female,High Risk
53,47,64,45,73,Paid,Male,Medium Risk
66,64,63,64,45,Paid,Male,Low Risk
51,60,56,44,49,Paid,Female,Medium Risk
79,78,68,79,65,Paid,Male,Low Risk
31,33,53,35,47,Paid,Female,High Risk
51,70,78,86,76,Paid,Female,Low Risk
59,42,59,33,52,Unpaid,Male,High Risk
40,40,37,36,35,Paid,Female,High Risk
47,58,45,57,60,Paid,Female,Medium Risk
48,43,44,55,54,Paid,Female,High Risk
48,55,43,58,54,Paid,Male,Medium Risk
51,44,38,48,57,Unpaid,Male,High Risk
46,54,34,45,40,Unpaid,Male,High Risk
42,38,37,43,42,Unpaid,Male,High Risk
24,17,24,28,12,Paid,Male,High Risk
48,45,60,43,57,Paid,Male,Medium Risk
57,35,48,39,54,Unpaid,Female,High Risk
100,62,75,56,68,Unpaid,Male,Low Risk
54,50,45,51,37,Paid,Male,High Risk
66,55,44,48,57,Paid,Male,Low Risk
48,54,46,58,58,Paid,Male,Medium Risk
81,66,67,62,74,Paid,Female,Low Risk
45,56,52,53,53,Paid,Male,Medium Risk
59,55,55,67,70,Paid,Male,Low Risk
