isbn,title,author,description,category,theme
0449212602,The Handmaid's Tale,Margaret Atwood,"""Splendid."" NEWSWEEK It is the world of the near future, and Offred is a Handmaid in the home of the Commander and his wife. She is allowed out once a day to the food market, she is not permitted to read, and she is hoping the Commander makes her pregnant, because she is only valued if her ovaries are viable. Offred can remember the years before, when she was an independent woman, had a job of her own, a husband and child. But all of that is gone now...everything has changed. ""Deserves the highest praise."" SAN FRANCISCO CHRONICLE From the Paperback edition.",Allegories,Culinary Arts
0671027360,Angels & Demons,Dan Brown,A novel about a symbologist who discovers the existence of an ancient vendetta against the Catholic Church.,Fiction,Epic Fantasy
0345342968,Fahrenheit 451,RAY BRADBURY,"Guy Montag is a fireman, his job is to burn books, which are forbidden.",Fiction,Epic Fantasy
0425154092,From Potter's Field,Patricia Daniels Cornwell,Dr. Kay Scarpetta matches wits with a sadistic killer who infiltrates the FBI's top-secret artificial intelligence system and closes in on Scarpetta herself,Fiction,Espionage Thriller
0440206154,Red Dragon,Thomas Harris,"This chilling ""New York Times"" bestseller from the author of ""The Silence of the Lambs"" first introduced readers to the infamous Dr. Hannibal Lecter, who helps FBI instructor Will Graham by bringing him into the twisted mind of a killer. 352 pp. 20,000 print. Copyright © Libri GmbH. All rights reserved.","Detective and mystery stories, American",Espionage Thriller
0375700757,Cold Mountain : A Novel,CHARLES FRAZIER,"Inman, an injured and disillusioned Confederate soldier, embarks on a harrowing journey home to his sweetheart, Ada, who herself is struggling to run the farm left her at her father's sudden death.",Fiction,Family Dynamics and Loss
0671510053,SHIPPING NEWS,Annie Proulx,Explores a cracked-up American family after their return to the ancestral home in Newfoundland.,Fiction,Family Dynamics and Loss
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,A NOVEL ABOUT THE COMPLEX BONDS BETWEEN A MOTHER AND A DAUGHTER.,Fiction,Family Dynamics and Relationships
0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,"Based on real-life experiences, this novel is the inside story on the lives of the rich and privileged from the women who know all their secrets--the nannies. Excerpt to ""Talk"" magazine.",Fiction,Family Dynamics and Relationships
0156027321,Life of Pi,Yann Martel,"Sixteen-year-old Pi Patel is stranded in a lifeboat on the Pacific Ocean with only a 450-pound Bengal tiger for company, and must learn to survive both tiger and ocean.",Fiction,Galactic Adventures
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,"October 1991. It was ""the perfect storm""--a tempest that may happen only once in a century--a nor'easter created by so rare a combination of factors that it could not possibly have been worse. Creating waves ten stories high and winds of 120 miles an hour, the storm whipped the sea to inconceivable levels few people on Earth have ever witnessed. Few, except the six-man crew of the Andrea Gail, a commercial fishing boat tragically headed towards its hellish center.",Nature,Galactic Adventures
014028009X,Bridget Jones's Diary,Helen Fielding,"The #1 bestselling book that defined the 20th century—now updated for the 25th Anniversary! Meet Bridget Jones—a 30-something Singleton who is certain she would have all the answers if she could: a. lose 7 pounds b. stop smoking c. develop Inner Poise Bridget Jones’s Diary is the devastatingly self-aware, laugh-out-loud daily chronicle of Bridget’s permanent, doomed quest for self-improvement—a year in which she resolves to: visit the gym three times a week, not just to buy a sandwich, form a relationship with a functional adult, and learn to work the television remote. Over the course of the year, Bridget loses a total of 72 pounds but gains a total of 74. She remains, however, optimistic. Through it all, Bridget will have you helpless with laughter, and—like millions of readers the world round—you’ll find yourself shouting, “Bridget Jones is me!”",Fiction,Historical Time-Travel Romance
0440212561,Outlander,DIANA GABALDON,"#1 NEW YORK TIMES BESTSELLER • The first book in Diana Gabaldon’s acclaimed Outlander saga, the basis for the Starz original series. One of the top ten best-loved novels in America, as seen on PBS’s The Great American Read! Unrivaled storytelling. Unforgettable characters. Rich historical detail. These are the hallmarks of Diana Gabaldon’s work. Her New York Times bestselling Outlander novels have earned the praise of critics and captured the hearts of millions of fans. Here is the story that started it all, introducing two remarkable characters, Claire Beauchamp Randall and Jamie Fraser, in a spellbinding novel of passion and history that combines exhilarating adventure with a love story for the ages. Scottish Highlands, 1945. Claire Randall, a former British combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding clans in the year of Our Lord . . . 1743. Claire is catapulted into the intrigues of a world that threatens her life, and may shatter her heart. Marooned amid danger, passion, and violence, Claire learns her only chance of safety lies in Jamie Fraser, a gallant young Scots warrior. What begins in compulsion becomes urgent need, and Claire finds herself torn between two very different men, in two irreconcilable lives.",Fiction,Historical Time-Travel Romance
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,"One for the Money is the first novel by Janet Evanovich featuring the bounty hunter Stephanie Plum. It was published in 1994 in the United States and in 1995 in Great Britain. Like its successors, Two for the Dough and Three to Get Deadly, One for the Money is a long-time best-seller, appearing for 75 consecutive weeks on the USA Today list of 150 best-selling novels, peaking at number 13. Before this novel, Evanovich wrote 11 category romance novels. She then ""ran out of sexual positions and decided to move into the mystery genre."" Before writing One for the Money, her first mystery novel, Evanovich spent two years investigating the world of law enforcement, shadowing both bail enforcement agents and the Trenton police, observing their actions and the equipment they carried. She also learned how to shoot a gun. One for the Money was named a New York Times Notable Book, a Publishers Weekly ""Best Book of 1994,"" and a USA Today ""Best Bet."" For this book, Evanovich also won the 1995 Dilys Award, one of only three authors to do so for their first mystery (the others being Julia Spencer-Fleming and Louise Penny). This novel introduced characters that would frequent the subsequent novels. As of 2020, there have been 27 published novels, four novellas, and one short story in the Stephanie Plum series.",,Holiday Classics
0385505833,Skipping Christmas,JOHN GRISHAM,Luther and Nora Frank decide to skip Christmas this year and go on a cruise when suddenly everything gets chaotic.,Fiction,Holiday Classics
0316776963,Me Talk Pretty One Day,David Sedaris,"A recent transplant to Paris, humorist David Sedaris, bestselling author of ""Naked"", presents a collection of his strongest work yet, including the title story about his hilarious attempt to learn French. A number one national bestseller now in paperback.",Humor,"Humor, Satire and Comics"
0060392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,"Remember when everything was looking up? When the government was running at a surplus, pollution was disappearing, peace was breaking out in the Middle East and Northern Ireland, and the Bridge to the 21st century was strung with high–speed Internet cable and paved with 401K gold? Well, so much for the future. Michael Moore, the award–winning provocateur behind Roger & Me and the bestseller Downsize This!, now returns to size up the new century – and that big, ugly special–interest group that's laying waste to the world as we know it: stupid white men. Whether he's calling for United Nations action to overthrow the Bush Family Junta, calling on African–Americans to place 'whites only' signs over the entrances of unfriendly businesses, or praying that Jesse Helms will get kissed by a man, Stupid White Men is Mike's Manifesto on Malfeasance and Mediocrity. So if you're feeling the same way and you're wondering what's going to give out first – the economy, Dick Cheney's pacemaker, or your new VW Beetle – here's the book for you.",Political Science,"Humor, Satire and Comics"
0440223202,Evening Class,Maeve Binchy,The hopes and dreams of a group studying Italian become more than they bargain for over the year.,Fiction,International Literature
0452282152,Girl with a Pearl Earring,Tracy Chevalier,Holland in the 1600s comes alive as sixteen-year-old Griet serves as the inspiration for one of Vermeer's best-known paintings.,Fiction,International Literature
0385486804,Into the Wild,Jon Krakauer,"In April 1992, a young man from a well-to-do family hitchhikes to Alaska and walks alone into the wilderness north of Mt. McKinley. Four months later, his decomposed body is found by a moose hunter. How Chris McCandless came to die is the unforgettable story of Into the Wild.",Biography & Autobiography,Medical Thrillers
0553572997,The Alienist,Caleb Carr,"In 1896 New York, psychologist--or in period terminology, an alienist--Laszlo Kreizler joins forces with journalist John Schuyler Moore to track a vicious serial killer.",Fiction,Medical Thrillers
0380789035,American Gods,Neil Gaiman,"Shadow is a man with a past. But now he wants nothing more than to live a quiet life with his wife and stay out of trouble. Until he learns that she's been killed in a terrible accident. Flying home for the funeral, as a violent storm rocks the plane, a strange man in the seat next to him introduces himself. The man calls himself Mr. Wednesday, and he knows more about Shadow than is possible. He warns Shadow that a far bigger storm is coming. And from that moment on, nothing will ever he the same...",Fiction,Psychological Thriller
074343627X,Dreamcatcher,Stephen King,"Once upon a time, in the haunted city of Derry, four boys stood together and did a brave thing. It was something that changed them in ways they could never begin to understand. Twenty-five years after saving a Down's-syndrome kid from bullies, Beav, Henry, Pete, and Jonesy -- now men with separate lives and separate problems -- reunite in the woods of Maine for their annual hunting trip. But when a stranger stumbles into their camp, disoriented and mumbling something about lights in the sky, chaos erupts. Soon, the four friends are plunged into a horrifying struggle with a creature from another world where their only chance of survival is locked in their shared past -- and in the Dreamcatcher. Never before has Stephen King contended so frankly with the heart of darkness. Dreamcatcher, his first full-length novel since Bag of Bones, is a powerful story of astonishing range that will satisfy fans both new and old.",Fiction,Psychological Thriller
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,Jack the B.,Business & Economics,Romantic Relationships
0385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,Mr. Everest May 10 1996 personal account.,Biography & Autobiography,Romantic Relationships
1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,"NATIONAL BESTSELLER • Fans around the world adore the bestselling No. 1 Ladies’ Detective Agency series and its proprietor, Precious Ramotswe, Botswana’s premier lady detective. In this charming series, Mma Ramotswe—with help from her loyal associate, Grace Makutsi—navigates her cases and her personal life with wisdom, good humor, and the occasional cup of tea. This first novel in Alexander McCall Smith’s widely acclaimed The No. 1 Ladies Detective Agency series tells the story of the delightfully cunning and enormously engaging Precious Ramotswe, who is drawn to her profession to “help people with problems in their lives.” Immediately upon setting up shop in a small storefront in Gaborone, she is hired to track down a missing husband, uncover a con man, and follow a wayward daughter. But the case that tugs at her heart, and lands her in danger, is a missing eleven-year-old boy, who may have been snatched by witchdoctors. The No. 1 Ladies’ Detective Agency received two Booker Judges’ Special Recommendations and was voted one of the International Books of the Year and the Millennium by the Times Literary Supplement.",Fiction,Romantic Suspense
0316601950,The Pilot's Wife : A Novel,Anita Shreve,"Anita Shreve's hauntingly beautiful #1 bestseller and Oprah's Book Club selection about tragedy, grief, betrayal, and the 'impossibility of knowing another person.' As a pilot's wife, Kathryn has learned to expect both intense exhilaration and long periods alone, but nothing has prepared her for a late-night knock that lets her know her husband has died in a crash. Until now, Kathryn Lyons's life has been peaceful if unextraordinary: a satisfying job teaching high school in the New England mill town of her childhood; a picture-perfect home by the ocean; a precocious, independent-minded fifteen-year-old daughter; and a happy marriage whose occasional dull passages she attributes to the unavoidable deadening of time. As Kathryn struggles with her grief, she descends into a maelstrom of publicity stirred up by the modern hunger for the details of tragedy. Even before the plane is located in waters off the Irish coast, the relentless scrutiny of her husband's life begins to bring a bizarre personal mystery into focus. Could there be any truth to the increasingly disturbing rumors that he had a secret life?",Fiction,Romantic Suspense
0345370775,Jurassic Park,Michael Crichton,"An American bioengineering research firm erects a theme park on a Caribbean island, complete with living dinosaurs, and invites a group of scientists to be its first terrified guests.",Fiction,Space Adventures
0786868716,The Five People You Meet in Heaven,Mitch Albom,Eddie dies on his eighty-third birthday in a tragic accident - He awakens in the afterlife where he learns that heaven is where your earthly life is explained to you by five people who were in it.,Fiction,Space Adventures
0142001740,The Secret Life of Bees,Sue Monk Kidd,"The multi-million bestselling novel about a young girl's journey towards healing and the transforming power of love, from the award-winning author of The Invention of Wings and The Book of Longings Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted Black ""stand-in mother,"" Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina—a town that holds the secret to her mother's past. Taken in by an eccentric trio of Black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story that women will share and pass on to their daughters for years to come.",Fiction,Spiritual and Self-Help
0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,"An old man, a young man, and life's greatest lesson.",Biography & Autobiography,Spiritual and Self-Help
0385504209,The Da Vinci Code,Dan Brown,"Harvard symbologist Robert Langdon and French cryptologist Sophie Neveu work to solve the murder of an elderly curator of the Louvre, a case which leads to clues hidden in the works of Da Vinci and a centuries-old secret society.",Fiction,Vampire/Paranormal Fantasy
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood--the world of the red tent. It begins with the story of her mothers--Leah, Rachel, Zilpah, and Bilhah--the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.",Fiction,Vampire/Paranormal Fantasy
080410753X,The Kitchen God's Wife,Amy Tan,"Winnie and Helen have kept each other's worst secrets for more than fifty years. Now, because she believes she is dying, Helen wants to expose everything. And Winnie angrily determines that she must be the one to tell her daughter, Pearl, about the pastâ€”including the terrible truth even Helen does not know. And so begins Winnie's story of her life on a small island outside Shanghai in the 1920s, and other places in China during World War II, and traces the happy and desperate events that led to Winnie's coming to America in 1949.","Fiction,Historical,Historical Fiction,Cultural,China,Cultural,Asia,Contemporary,Literature,Asian Literature,Novels,Historical,Adult Fiction,Literature",War and Historical Drama
0375707972,The Reader,Bernhard Schlink,"Hailed for its coiled eroticism and the moral claims it makes upon the reader, this mesmerizing novel is a story of love and secrets, horror and compassion, unfolding against the haunted landscape of postwar Germany. When he falls ill on his way home from school, fifteen-year-old Michael Berg is rescued by Hanna, a woman twice his age. In time she becomes his lover—then she inexplicably disappears. When Michael next sees her, he is a young law student, and she is on trial for a hideous crime. As he watches her refuse to defend her innocence, Michael gradually realizes that Hanna may be guarding a secret she considers more shameful than murder.",Fiction,War and Historical Drama
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,"Collects the complete series that relates the adventures of young Harry Potter, who attends Hogwarts School of Witchcraft and Wizardry, where he and others of his kind learn their craft.",Bildungsromans,Wizarding World
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Witchcraft and Wizardry.",Juvenile Fiction,Wizarding World
080213825X,Four Blondes,Candace Bushnell,"Four beautiful women, a model, a columnist, a socialite and a writer, face turning points in which each must choose between her passions.",Fiction,Young Adult Non-Fiction
014038572X,The Outsiders (Now in Speak!),S. E. Hinton,"Over 50 years of an iconic classic! This international bestseller and inspiration for a beloved movie is a heroic story of friendship and belonging. No one ever said life was easy. But Ponyboy is pretty sure that he's got things figured out. He knows that he can count on his brothers, Darry and Sodapop. And he knows that he can count on his friends—true friends who would do anything for him, like Johnny and Two-Bit. But not on much else besides trouble with the Socs, a vicious gang of rich kids whose idea of a good time is beating up on “greasers” like Ponyboy. At least he knows what to expect—until the night someone takes things too far. The Outsiders is a dramatic and enduring work of fiction that laid the groundwork for the YA genre. S. E. Hinton's classic story of a boy who finds himself on the outskirts of regular society remains as powerful today as it was the day it was first published. ""The Outsiders transformed young-adult fiction from a genre mostly about prom queens, football players and high school crushes to one that portrayed a darker, truer world."" —The New York Times ""Taut with tension, filled with drama."" —The Chicago Tribune ""[A] classic coming-of-age book."" —Philadelphia Daily News A New York Herald Tribune Best Teenage Book A Chicago Tribune Book World Spring Book Festival Honor Book An ALA Best Book for Young Adults Winner of the Massachusetts Children's Book Award",Young Adult Fiction,Young Adult Non-Fiction
